,disk_ID,vm_name,vm_cpu,vm_memory,vm_type,disk_if_VIP,ins_type,project_name,buss_name,disk_name,disk_capacity,disk_type,volume_type,avg_bandwidth,bandwidth_mul,bandwidth_zero_ratio,burst_label,peak_bandwidth,timestamp_num,cluster_index,business_type,description,recent_history_bandwidth_memory,recent_history_bandwidth_cpu,recent_history_bandwidth_app,recent_history_bandwidth_cpu_memory,cluster_label
20782,2b6c1411-0dcc-48eb-a281-34b40f9f1e45,cfs-40a35dc6b-oss21,32.0,64.0,S5,0,CVM,默认项目,cfs-40a35dc6b-oss,cfs-40a35dc6b-oss21_系统盘,100,0,cbsPremium,8718.215277777777,40.52274333033567,0.0009920634920634,1,353286.0,2016.0,577,infra-node,cfs-40a35dc6b-oss21_系统盘_默认项目,7036.693452380952,,16705.035714285714,,0
4326,a494266f-4446-4065-b816-9db9d3fc2f88,tx-art-utils03,4.0,8.0,S5,1,CVM,yes,tx-art-utils,tx-art-utils03_系统盘,50,0,cbsPremium,250.33482142857144,64.30587605884976,0.0009920634920634,1,16098.0,2016.0,571,media-video-streaming,yes_tx-art-utils03_系统盘,,,,,0
9255,1e0452c9-9a1f-4744-8956-aad9954b4da8,未命名72,2.0,4.0,S6,1,CVM,1,PWA,未命名72_系统盘,100,0,cbsPremium,16089.264880952382,48.13321215917224,0.0818452380952381,1,774428.0,2016.0,436,generic-unknown,PWA_未命名72_系统盘_1,,,,,2
8651,3fb45a62-8fdc-4527-b0cf-0b43feb123ff,myscale-testing-node1.internal.moqi.ai,16.0,32.0,SA2,1,CVM,cls-5q1m0hkp,myscale-testing-node1.internal.moqi.ai,cls-5q1m0hkp/pvc-c3b69eb0-b8a7-443f-a104-f088071d4410,20,1,cbsPremium,893.641369047619,351.6914177047826,0.0,1,314286.0,2016.0,609,dev-test-env,cls-5q1m0hkp/pvc-c3b69eb0-b8a7-443f-a104-f088071d4410_myscale-testing-node1.internal.moqi.ai,,,9501.431051587302,,0
19239,3c4b915d-86fb-4d56-b423-25932b733d72,TX-K3-S329,4.0,8.0,SA2,1,CVM,默认项目,TX-K3-S,TX-K3-S329_系统盘,100,0,cbsPremium,4777.176091269841,62.67405560937024,0.0,1,299405.0,2016.0,609,generic-unknown,默认项目_TX-K3-S329_系统盘,,,3985.8675595238096,,0
17457,135a8da0-ea96-4e16-bc23-7b7940bbc9c4,vm-cdwdoris-v6p37jx7,4.0,16.0,S5,0,CVM,cdwdoris,vm-cdwdoris-v6p37jx,vm-cdwdoris-v6p37jx7_数据盘_6,20,1,cbsHSSD,10654.663194444443,80.74811791785221,0.0004960317460317,1,860344.0,2016.0,436,infra-database,vm-cdwdoris-v6p37jx7_数据盘_6,249.5768849206349,249.5768849206349,249.5768849206349,249.5768849206349,2
19386,e8d000ba-5f96-43e1-af1b-b9956a549d0c,vm-cdwch-lzav7kyc,4.0,16.0,SA2,0,CVM,cdwch,vm-cdwch-lzav7kyc,vm-cdwch-lzav7kyc_数据盘_10,50,1,cbsHSSD,3329.3373015873017,154.99450889339957,0.0009920634920634,1,516029.0,2016.0,511,infra-database,vm-cdwch-lzav7kyc_数据盘_10,7178.736111111111,7178.736111111111,7178.736111111111,7178.736111111111,0
8586,06dcf9aa-7a8b-4e1d-9091-526267f95945,Risk-tongdun-app03.waibao.prod,8.0,32.0,SA2,1,CVM,vpc_prod,Risk-tongdun-app03.waibao.prod,Risk-tongdun-app03.waibao.prod_系统盘,50,0,cbsPremium,7614.181547619048,45.61291293462817,0.0004960317460317,1,347305.0,2016.0,610,finance-payment,vpc_prod_Risk-tongdun-app03.waibao.prod_系统盘,,,23087.21478174603,,0
22519,e9c2e57d-c291-4026-8598-4147947e46e2,tx-bj-hulk-k8s-node3050,84.0,320.0,S5,1,CVM,默认项目,tx-bj-hulk-k8s-node,tx-bj-hulk-k8s-node3050_系统盘,100,0,cbsPremium,1815.6934523809523,270.6415002794748,0.0,1,491402.0,2016.0,677,infra-node,默认项目_tx-bj-hulk-k8s-node3050_系统盘,151913.84424603175,151913.84424603175,151913.84424603175,151913.84424603175,0
7244,b4a00ebe-bee8-4fe6-852e-8602c7d975cd,apolloStockCenterDB--s-1,8.0,16.0,S6,1,CVM,乐友服务器,apolloStockCenterDB--s,未命名_系统盘,50,0,cbsssd,6461.65128968254,31.0795168288734,0.0,1,200825.0,2016.0,656,infra-database,apolloStockCenterDB--s-1_乐友服务器_未命名_系统盘,,,,,0
17347,52c5e3e7-bce9-4c25-be2a-90cd6e1080dd,rom-tencent-cn-common-02,32.0,256.0,M5,1,CVM,r1,rom-tencent-cn-common,rom-tencent-cn-r1-0{R:1}_数据盘_1,4000,1,cbsPremium,3648.861607142857,171.49814582581405,0.0009920634920634,1,625773.0,2016.0,576,generic-unknown,rom-tencent-cn-common-02_rom-tencent-cn-r1-0{R:1}_数据盘_1,,,,,2
20800,8f669960-30c5-4e2e-9e2a-abac7c9b04fd,as-tke-np-mmfj8tw1,32.0,128.0,SA3,1,CVM,cls-k73z5qjf,as-tke-np-mmfj8tw,cls-k73z5qjf/pvc-8991e5fa-24af-4950-8ed2-f92d565c2e49,20,1,cbsHSSD,985.594742063492,67.41614698642499,0.0014880952380952,1,66445.0,2016.0,458,infra-node,cls-k73z5qjf/pvc-8991e5fa-24af-4950-8ed2-f92d565c2e49_as-tke-np-mmfj8tw1,5.802083333333333,5.802083333333333,5.802083333333333,5.802083333333333,0
19964,8d96dc7f-28b6-419a-8994-191cd5543a90,as-tke-np-6wwrb6k5,16.0,64.0,S5,1,CVM,asg-76uw68hd,as-tke-np-6wwrb6k,as-tke-np-6wwrb6k5_数据盘_1,500,1,cbsPremium,4027.038194444444,139.52412986177634,0.0004960317460317,1,561869.0,2016.0,609,generic-autoscaling,asg-76uw68hd_as-tke-np-6wwrb6k5_数据盘_1,,,,,2
16798,acd7a460-764a-475c-98c9-4176c3a3ac58,17173-大陆手游发行平台_公众号服务-GMP,2.0,4.0,S5,1,CVM,默认项目,17173-大陆手游发行平台_公众号服务-GMP,17173-大陆手游发行_公众号服务-GMP_系统盘,50,0,cbsPremium,7570.805059523809,26.1755517995684,0.0014880952380952,1,198170.0,2016.0,578,game-service,17173-大陆手游发行平台_公众号服务-GMP_默认项目_17173-大陆手游发行_公众号服务-GMP_系统盘,130.8551587301587,130.8551587301587,130.8551587301587,130.8551587301587,0
15427,ca58c859-b14f-4b32-8af7-c78e23adde02,gmcf-zookeeper-v7-2.rongtong.prod,4.0,8.0,SA2,1,CVM,vpc_prod,gmcf-zookeeper-v7rongtong.prod,gmcf-zookeeper-v7-2.rongtong.prod_数据盘_1,20,1,cbsPremium,1664.653273809524,105.6382147361947,0.0,1,175851.0,2016.0,602,infra-coordination,vpc_prod_gmcf-zookeeper-v7-2.rongtong.prod_数据盘_1_gmcf-zookeeper-v7rongtong.prod,48610.88293650794,48610.88293650794,48610.88293650794,48610.88293650794,0
21471,18c96d0c-9dbd-42e2-b641-4b550316d25a,prod-qwmh-bj7-public-imgcloud-05,4.0,8.0,SA2,1,CVM,默认项目,prod-qwmh-bj7-public-imgcloud,prod-qwmh-bj728_系统盘,80,0,cbsPremium,10672.394345238095,30.26481120837876,0.0014880952380952,1,322998.0,2016.0,406,infra-node,prod-qwmh-bj7-public-imgcloud-05_prod-qwmh-bj728_系统盘_默认项目,6980.221230158731,6980.221230158731,6980.221230158731,6980.221230158731,0
12250,666078c0-0426-4bcb-a5ef-22512cac6567,video-record464.hb.txyun,8.0,32.0,S5,1,CVM,video,video-record,video-record400.hb.txyun65_数据盘_1,200,1,cbsHSSD,6073.279265873016,44.125255610401766,0.0004960317460317,1,267985.0,2016.0,568,media-video-streaming,video-record400.hb.txyun65_数据盘_1_video-record464.hb.txyun,6287.920138888889,6287.920138888889,6287.920138888889,6287.920138888889,0
15526,7a0a0370-00a7-471b-8709-1e97932e40a3,sensors-family-demo-data4,24.0,96.0,S5,1,CVM,全家桶DEMO,sensors-family-demo-data,sensors-family-demo-data{R:5}_数据盘_5,300,1,cbsPremium,577.500496031746,38.95061589481903,0.0,1,22494.0,2016.0,727,iot-saas-platform,全家桶DEMO_sensors-family-demo-data{R:5}_数据盘_5_sensors-family-demo-data4,,,,,0
9519,6cf91faf-3555-4600-be6c-8d5ece1b8739,lh-1312880330-lhins-jj27ow2o,2.0,4.0,S5,0,CVM,默认项目,lh-cbs,lh-1312880330-20230214484027162061931,20,1,cbsPremium,443.3933531746032,123.89450497325706,0.3129960317460317,1,54934.0,2016.0,677,infra-node,lh-1312880330-lhins-jj27ow2o_lh-1312880330-20230214484027162061931_默认项目_lh-cbs,0.0059523809523809,173.70882936507937,173.70882936507937,25214.01636904762,0
17516,3489de99-845b-4940-80dd-cf96230872f2,video-record501.hb.txyun,8.0,32.0,S5,1,CVM,video,video-record,video-record477.hb.txyun25_数据盘_1,500,1,cbsHSSD,5820.860119047619,39.07480945225224,0.0,1,227449.0,2016.0,685,media-video-streaming,video-record477.hb.txyun25_数据盘_1_video-record501.hb.txyun,5618.130456349207,5618.130456349207,5618.130456349207,5618.130456349207,0
17857,bdb24c41-bad6-4a82-b2f8-31f60a0b126d,未命名41,2.0,4.0,S6,1,CVM,默认项目,PWA,未命名41_系统盘,100,0,cbsPremium,22449.30059523809,35.56578507258087,0.0014880952380952,1,798427.0,2016.0,476,generic-unknown,默认项目_未命名41_系统盘_PWA,24232.518353174604,24232.518353174604,24232.518353174604,24232.518353174604,2
15889,25169eda-2a35-4ff0-9a0f-4c909e119dab,未命名29,2.0,4.0,S6,1,CVM,默认项目,PWA,未命名29_系统盘,100,0,cbsPremium,25056.51884920635,36.31689643227606,0.0004960317460317,1,909975.0,2016.0,477,generic-unknown,未命名29_系统盘_默认项目_PWA,23527.494543650795,23527.494543650795,23527.494543650795,23527.494543650795,2
15972,5a84a010-9879-4fdb-8a61-ed555d31fa52,zgrsfinal,2.0,4.0,SA2,1,CVM,个人使用Windows跳板机,zgrsfinal,zgrsfinal_系统盘,100,0,cbsPremium,885.3497023809524,64.95738333151246,0.0014880952380952,1,57510.0,2016.0,532,personal-use,zgrsfinal_系统盘_个人使用Windows跳板机,,,85424.14434523809,,0
23016,8da12829-5ab5-4d7d-9696-134a520a447c,tke_cls-7dynfgib_worker1,16.0,64.0,SA3,1,CVM,默认项目,tke_cls-7dynfgib_worker,tke_cls-7dynfgib_worker1_系统盘,200,0,cbsPremium,29288.65575396825,34.3079589736329,0.0014880952380952,1,1004834.0,2016.0,546,infra-node,默认项目_tke_cls-7dynfgib_worker1_系统盘,,,,,2
7902,b544427b-fc22-4f68-accd-3e5776b65f03,dzyz-game-11-1098,4.0,8.0,S6,1,CVM,臧泽,dzyz-game,dzyz-game-11-1098_数据盘_1,100,1,cbsPremium,477.09027777777777,27.09759683265164,0.0,1,12928.0,2016.0,605,game-service,臧泽_dzyz-game-11-1098_数据盘_1,409.3258928571428,409.3258928571428,409.3258928571428,409.3258928571428,0
15171,4e4a15e0-8cc5-4b34-9bdd-a671740761b7,prod-rtcmstorer3,8.0,16.0,S6,1,CVM,prod1-hp3-platech,prod-rtcmstorer,prod-rtcmstorer3_数据盘_1,100,1,cbsPremium,1181.825892857143,41.08980882336276,0.0014880952380952,1,48561.0,2016.0,486,infra-message-queue,prod1-hp3-platech_prod-rtcmstorer3_数据盘_1,,6277.168650793651,1120.5396825396826,,0
22153,76199f82-fa34-4154-a7dc-f70336e885a4,m-tc7-cvm-gz01-202201201122207723,16.0,32.0,SA3,1,CVM,g1_bj,m-tc7-cvm-gz,m-tc7-cvm-gz01-20220120112220772_数据盘_1,500,1,cbsPremium,11412.429067460318,47.51810476055654,0.0009920634920634,1,542297.0,2016.0,571,infra-node,m-tc7-cvm-gz01-202201201122207723_m-tc7-cvm-gz01-20220120112220772_数据盘_1_g1_bj,,,,,0
16373,938a4753-eff1-4e04-a21a-d8e6fd6b54cf,dzyz-game-11-1094,4.0,8.0,S6,1,CVM,臧泽,dzyz-game,dzyz-game-11-1094_系统盘,50,0,cbsPremium,6335.30753968254,141.47174298738332,0.0009920634920634,1,896267.0,2016.0,414,game-service,臧泽_dzyz-game-11-1094_系统盘,6193.327380952381,6193.327380952381,6193.327380952381,6193.327380952381,2
8619,8cd55198-5dfe-4dea-8ef9-a0bb098fe99c,liyuan3-ZJSQ-20220617-001,8.0,16.0,S6,1,CVM,黎远,liyuan3-ZJSQ,liyuan3-ZJSQ-20220617-001_系统盘,200,0,cbsPremium,3113.4563492063494,53.35324519399279,0.0009920634920634,1,166113.0,2016.0,570,generic-unknown,liyuan3-ZJSQ-20220617-001_系统盘_黎远,,,,,0
10630,8b9c147d-9a4a-4bb2-9376-9651127e88a7,dzyz-db-master-2001,4.0,32.0,M6,1,CVM,臧泽,dzyz-db-master,dzyz-db-master-2001_系统盘,50,0,cbsPremium,6207.859623015873,37.58251864056422,0.0009920634920634,1,233307.0,2016.0,478,infra-database,臧泽_dzyz-db-master-2001_系统盘,5631.204861111111,5631.204861111111,5631.204861111111,5631.204861111111,0
17271,1bc760c3-8b46-44e5-9f97-c87efaebaa24,emr-Task.7970_emr-gmz8tdmv,32.0,128.0,SA3,1,CVM,默认项目,emr-Task-emr-gmz8tdmv,emr-task6_系统盘,50,0,cbsPremium,65447.12599206349,39.79835570344006,0.0,1,2604688.0,2016.0,610,ai-machine-learning,emr-Task-emr-gmz8tdmv_默认项目_emr-Task.7970_emr-gmz8tdmv_emr-task6_系统盘,63894.2003968254,63894.2003968254,63894.2003968254,63894.2003968254,4
10736,86d86b26-6892-4af8-a59e-557866a30e7e,ckafka-k9z93w75,2.0,8.0,SA2,0,CVM,默认项目,ckafka-k9z93w75-cbs,Ckafka_ins-f1hiqqz3_1660074679_1,90,1,cbsPremium,1648.763888888889,455.0330129474101,0.0004960317460317,1,750242.0,2016.0,414,infra-message-queue,Ckafka_ins-f1hiqqz3_1660074679_1_ckafka-k9z93w75-cbs_默认项目,949.4751984126984,949.4751984126984,949.4751984126984,949.4751984126984,2
20754,268588b7-9099-4805-bca9-c44b5b5686c4,vm-cdwch-lzav7kyc,4.0,16.0,SA2,0,CVM,cdwch,vm-cdwch-lzav7kyc,vm-cdwch-lzav7kyc_数据盘_3,50,1,cbsHSSD,3308.153273809524,174.15456670680618,0.0004960317460317,1,576130.0,2016.0,415,infra-database,vm-cdwch-lzav7kyc_数据盘_3,118.95436507936508,118.95436507936508,118.95436507936508,118.95436507936508,2
17713,a0492269-ebfb-4e7b-8572-f6d0f850eb1a,test-yhbi-23-103,8.0,64.0,MA2,1,CVM,默认项目,test-yhbi,prod-yhbi_数据盘,100,1,cbsPremium,2086.8829365079364,245.18529096615387,0.0014880952380952,1,511673.0,2016.0,487,dev-test-env,默认项目_prod-yhbi_数据盘_test-yhbi-23-103,,,,,0
6211,4c6f4521-23c3-4107-9a44-cd72e29eb2d0,TX-K3-S507,4.0,16.0,SA2,1,CVM,默认项目,TX-K3-S,TX-K3-S507_数据盘((FROM snap-6odi227m))_1,50,1,cbsPremium,533.3764880952381,228.1334155439432,0.0004960317460317,1,121681.0,2016.0,605,generic-unknown,默认项目_TX-K3-S507_数据盘((FROM snap-6odi227m))_1,4559.174107142857,977.6661706349206,977.6661706349206,4559.174107142857,0
7342,3e7e9d68-57b3-44c9-bdcb-a3e671ab2c57,未命名,48.0,128.0,SA2,1,CVM,ark-andromeda(仙女座),ark-andromeda(仙女座),未命名_数据盘_1,500,1,cbsPremium,2107.744047619048,36.10637642932384,0.0009920634920634,1,76103.0,2016.0,576,generic-unknown,未命名_数据盘_1_ark-andromeda(仙女座),,,,,0
7350,ec7be587-feca-40ca-b172-af9d11bc140f,gmam-api-t02.fandanbao.prod,2.0,2.0,SA2,1,CVM,vpc_prod,gmam-api-t02.fandanbao.prod,gmam-api-t02.fandanbao.prod_数据盘_1,50,1,cbsPremium,945.1135912698412,45.5585449174928,0.0004960317460317,1,43058.0,2016.0,407,ecommerce-retail,vpc_prod_gmam-api-t02.fandanbao.prod_数据盘_1,,6621.852678571428,1370.0545634920634,,0
9827,4fb6f8b2-1ed3-4f80-ba4d-2acdebde226f,d-qcbj7-vdrs-k8s-node-5.q9gzv0qn.0,4.0,8.0,SA3,1,CVM,asg-4skxh067,d-qcbj7-vdrs-k8s-nodeq9gzv0qn.,d-qcbj7-vdrs-k8s-node-5.q9gzv0qn.0_系统盘,50,0,cbsBSSD,8599.924107142857,47.91239955917385,0.0004960317460317,1,412043.0,2016.0,704,infra-node,d-qcbj7-vdrs-k8s-nodeq9gzv0qn._asg-4skxh067_d-qcbj7-vdrs-k8s-node-5.q9gzv0qn.0_系统盘,47675.16071428572,47675.16071428572,47675.16071428572,47675.16071428572,0
23880,1409c001-b323-40f6-96ff-26915d43a54f,未命名99,2.0,4.0,S6,1,CVM,默认项目,PWA,未命名99_系统盘,100,0,cbsPremium,22585.90525793651,33.58886842640153,0.0004960317460317,1,758635.0,2016.0,605,generic-unknown,默认项目_未命名99_系统盘_PWA,24117.053075396827,24117.053075396827,24117.053075396827,24117.053075396827,2
16943,b33951a6-c758-4194-89c1-301c64964338,p-qcbj7-pe-data-task-17,16.0,64.0,S6,1,CVM,默认项目,p-qcbj7-pe-data-task,p-qcbj7-pe-data-task-17_系统盘,50,0,cbsPremium,15646.813492063491,64.53614344621616,0.0,1,1009785.0,2016.0,700,compute-simulation,p-qcbj7-pe-data-task-17_系统盘_默认项目,12.52281746031746,12.52281746031746,12.52281746031746,12.52281746031746,2
23872,57f5fa05-417a-4c57-b5f2-02b018a947f7,天龙微信-游戏服98,32.0,128.0,S5,1,CVM,cvm,天龙微信-游戏服,天龙微信-游戏服M1_数据盘_1(FROM snap-dcuszuvm),1000,1,cbsPremium,107322.54761904762,30.30574722792685,0.0014880952380952,1,3252490.0,2016.0,562,game-service,cvm_天龙微信-游戏服M1_数据盘_1(FROM snap-dcuszuvm)_天龙微信-游戏服98,3169.623511904762,3169.623511904762,3169.623511904762,3169.623511904762,4
12786,8f72cde3-27e3-4592-b22d-d0bceaf56986,lh-1253703998-lhins-80ixn418,2.0,4.0,S5,0,CVM,默认项目,lh-cbs,lh-1253703998-20230504312031636362161,40,1,cbsPremium,5956.138392857143,231.48908051792304,0.0009920634920634,1,1378781.0,2016.0,698,infra-node,lh-1253703998-20230504312031636362161_lh-1253703998-lhins-80ixn418_默认项目_lh-cbs,11598.201884920634,726.6964285714286,726.6964285714286,11598.201884920634,2
15861,4246e895-ec18-4e7d-bd95-50dd2ca4b989,gmrd-acc-mysql01.rongdan.prod,4.0,8.0,SA2,1,CVM,vpc_prod,gmrd-acc-mysql01.rongdan.prod,gmrd-acc-mysql01.rongdan.prod_数据盘_1,50,1,cbsPremium,2141.7569444444443,268.25266120429427,0.0004960317460317,1,574532.0,2016.0,477,infra-database,vpc_prod_gmrd-acc-mysql01.rongdan.prod_数据盘_1,559.5694444444445,559.5694444444445,559.5694444444445,559.5694444444445,2
22257,47bae8ee-7615-4f52-a776-53a64da7e34b,vm-cdwch-3w6qxchb,32.0,128.0,S5,0,CVM,cdwch,vm-cdwch-3w6qxchb,vm-cdwch-3w6qxchb_数据盘_7,50,1,cbsHSSD,1259.295634920635,305.6756406721444,0.0039682539682539,1,384936.0,2016.0,650,infra-database,vm-cdwch-3w6qxchb_数据盘_7,2424.6716269841268,2424.6716269841268,255.7142857142857,2424.6716269841268,0
2652,23d71fc9-cb12-432f-85aa-92c796460558,retai_pub_test_k8s014,4.0,16.0,SA2,1,CVM,默认项目,retai_pub_test_k8s,retai_pub_test_k8s01_数据盘_1,200,1,cbsPremium,1245.201388888889,30.251331500370867,0.0,1,37669.0,2016.0,605,infra-node,retai_pub_test_k8s014_默认项目_retai_pub_test_k8s01_数据盘_1,,,2195.280257936508,,0
22765,396bb525-366d-4989-abce-6cb9fad9ddcc,hanglvzongheng1--ckiugf,4.0,8.0,SA3,1,CVM,客户Windows跳板机,hanglvzongheng1--ckiugf,hanglvzongheng1--ckiugf_系统盘,100,0,cbsPremium,18409.98859126984,215.167542356786,0.0009920634920634,1,3961232.0,2016.0,486,infra-jumpbox,客户Windows跳板机_hanglvzongheng1--ckiugf_系统盘,,,2210.46378968254,,4
15029,bc066f94-ee8d-4f36-bf28-a183492816c0,TX-K3-M016-010,8.0,32.0,SA2,1,CVM,默认项目,TX-K3-M,TX-K3-M016-010_系统盘,100,0,cbsPremium,5386.395833333333,29.94377037830646,0.0004960317460317,1,161289.0,2016.0,477,generic-unknown,默认项目_TX-K3-M016-010_系统盘,1052.0709325396826,1052.0709325396826,1052.0709325396826,1052.0709325396826,0
17267,ce196a3b-1dff-4cc7-8f07-ba51a720d7e4,lh-1251291967-lhins-7peaxesm,2.0,2.0,S5,0,CVM,默认项目,lh-cbs,lh-1251291967-20221116165023165886261,200,1,cbsPremium,10834.475198412698,258.42313067551214,0.0,1,2799879.0,2016.0,571,generic-unknown,lh-1251291967-20221116165023165886261_默认项目_lh-cbs_lh-1251291967-lhins-7peaxesm,11.443948412698411,195.72718253968253,13065.185515873016,8489.293154761905,4
4478,fed528f7-5180-4296-990b-2b8839de876a,p5-tkcnpms-sensorsd-web05,16.0,64.0,S6,1,CVM,Server,p5-tkcnpms-sensorsd-web,p5-tkcnpms-sensorsd-web05_数据盘_2,250,1,cbsPremium,557.2266865079365,27.15950324425901,0.0004960317460317,1,15134.0,2016.0,605,iot-saas-platform,p5-tkcnpms-sensorsd-web05_数据盘_2_Server,,7925.30753968254,7162.163690476191,,0
5361,4f79ec6a-bded-4b1a-aaed-e940ed79bbc6,p-qcbj7-srd-qc-logstash-987c1e18-03,16.0,64.0,S6,1,CVM,默认项目,p-qcbj7-srd-qc-logstash-987c1e,p-qcbj7-srd-qc-logstash-987c1e18-03_数据盘_1,50,1,cbsssd,74.32886904761905,52.60405613726,0.0,1,3910.0,2016.0,686,infra-logging-monitoring,默认项目_p-qcbj7-srd-qc-logstash-987c1e18-03_数据盘_1,8466.475198412698,8466.475198412698,2272.2286706349205,8466.475198412698,0
20571,f9488814-ffdf-471c-b945-cf80a88e8ee6,ckafka-gnan4bzj,16.0,32.0,C6,0,CVM,默认项目,ckafka-gnan4bzj-cbs,Ckafka_ins-knmmdgpv_1633525762_3,840,1,cbsPremium,8863.805555555555,38.86648887328932,0.0,1,344505.0,2016.0,700,infra-message-queue,ckafka-gnan4bzj-cbs_默认项目_Ckafka_ins-knmmdgpv_1633525762_3,9857.295138888889,9857.295138888889,9857.295138888889,9857.295138888889,0
