,disk_ID,vm_name,vm_cpu,vm_memory,vm_type,disk_if_VIP,ins_type,project_name,buss_name,disk_name,disk_capacity,disk_type,volume_type,avg_bandwidth,bandwidth_mul,bandwidth_zero_ratio,burst_label,peak_bandwidth,timestamp_num,cluster_index,business_type,description,recent_history_bandwidth_memory,recent_history_bandwidth_cpu,recent_history_bandwidth_app,recent_history_bandwidth_cpu_memory,pre_burst_label,belong_to_cluster,pre_bandwidth
520,fea55d7a-1e6b-4c59-8949-96d84297cdce,ckafka-2v4v5krn,2.0,8.0,SA2,0,CVM,默认项目,ckafka-2v4v5krn-cbs,Ckafka_ins-1n9lsbe5_29576013_1,90,1,cbsPremium,633.5962301587301,1.130057228750597,0.0,0,716.0,2016.0,414,infra-message-queue,Ckafka_ins-1n9lsbe5_29576013_1_默认项目_ckafka-2v4v5krn-cbs,62224.46329365079,1066.0887896825398,62224.46329365079,1066.0887896825398,0,0.0,13503.298946270883
11933,7b5c0d98-8711-4cb4-84c7-fac4db3b865a,khazad25,2.0,4.0,SA2,1,CVM,sa,khazad,khazad25_系统盘,50,0,cbsPremium,10801.89384920635,55.81771200652002,0.0019841269841269,1,602937.0,2016.0,477,infra-node,khazad25_系统盘_sa,3865.895337301588,3865.895337301588,4955.595734126984,3865.895337301588,0,0.0,13503.298946270883
23138,c1be1beb-8fb8-4324-9e85-59b4d2bdbaa6,hl-game-265,8.0,32.0,SA3,1,CVM,默认项目,hl-game,未命名_系统盘,150,0,cbsPremium,103153.80357142857,1.450058018427061,0.0009920634920634,0,149579.0,2016.0,576,game-service,默认项目_hl-game-265_未命名_系统盘,81391.9871031746,81391.9871031746,81391.9871031746,81391.9871031746,0,0.0,13503.298946270883
18122,6aadda85-7ae3-475d-9b83-370e4d830548,wiki-new,4.0,8.0,S5,1,CVM,i-2ze0e7wqmtog1xlmb7un,wiki-new,wiki-new_DATA_DISK_1,200,1,cbsHSSD,6319.058531746032,152.27964659066308,0.0004960317460317,1,962264.0,2016.0,511,community-social-forum,i-2ze0e7wqmtog1xlmb7un_wiki-new_DATA_DISK_1,,,,,0,0.0,13503.298946270883
16495,55b2b2d6-66d7-48d3-8814-a85690fbe7f4,as-tke-np-4b8nxha3,16.0,32.0,SA2,1,CVM,cls-3rntxkt1,as-tke-np-4b8nxha,cls-3rntxkt1/pvc-de9873f0-fddc-4c07-8623-ba37f197eb4b,200,1,cbsPremium,56274.7316468254,11.065783554653866,0.0,0,622724.0,2016.0,610,infra-node,cls-3rntxkt1/pvc-de9873f0-fddc-4c07-8623-ba37f197eb4b_as-tke-np-4b8nxha3,29270.161706349205,29270.161706349205,29270.161706349205,29270.161706349205,0,0.0,13503.298946270883
3592,8e851db1-2fb1-4b70-806e-dd827b483d82,prod-bigdata-n2.digitforce.com,4.0,16.0,S6,1,CVM,生产,prod-bigdata-n2.digitforce.com,prod-bigdata-n2.digitforce.com_数据盘_1,200,1,cbsBSSD,80.4811507936508,119.9659784283513,0.0,1,9655.0,2016.0,742,infra-node,prod-bigdata-n2.digitforce.com_数据盘_1_生产,6768.801587301588,,6768.801587301588,,0,0.0,13503.298946270883
23469,fc2eca3b-26cb-4e73-b502-fc651808dc6a,test-k8s-node-9.b0vmnfhx.0,16.0,128.0,MA3,1,CVM,asg-49l30hob,test-k8s-nodeb0vmnfhx.,test-k8s-node-9.b0vmnfhx.0_系统盘,300,0,cbsPremium,357313.3293650793,4.203263289026297,0.0009920634920634,0,1501882.0,2016.0,560,infra-node,asg-49l30hob_test-k8s-node-9.b0vmnfhx.0_系统盘_test-k8s-nodeb0vmnfhx.,309.40625,397.0416666666667,397.0416666666667,,0,0.0,13503.298946270883
12140,c44e254b-7a4d-47ea-818d-37cc85ffcf59,女神联盟-游戏服6,4.0,32.0,MA3,1,CVM,online,女神联盟-游戏服,女神联盟-游戏服33_系统盘,50,0,cbsBSSD,6948.709821428572,15.042360767125963,0.0004960317460317,0,104525.0,2016.0,704,game-service,女神联盟-游戏服33_系统盘_online_女神联盟-游戏服6,6477.472222222223,6477.472222222223,6477.472222222223,6477.472222222223,0,0.0,13503.298946270883
4745,27cb082d-44dc-4fb6-b53c-d2db3f62abce,emr-Common.2_emr-j29mof2a,2.0,8.0,SA3,1,CVM,adjuzasa,emr-Common-emr-j29mof2a,emr-common1_系统盘,50,0,cbsssd,10307.700892857143,2.9114154855614625,0.0004960317460317,0,30010.0,2016.0,704,ai-machine-learning,emr-common1_系统盘_emr-Common-emr-j29mof2a_emr-Common.2_emr-j29mof2a_adjuzasa,,,22366.378472222223,,0,0.0,13503.298946270883
23148,617e5b77-8f1a-4cf1-80fa-3ee9ef1567cf,未命名20,2.0,4.0,S6,1,CVM,默认项目,PWA,未命名20_系统盘,100,0,cbsPremium,21324.51388888889,30.146244052717105,0.0009920634920634,1,642854.0,2016.0,547,generic-unknown,默认项目_未命名20_系统盘_PWA,21999.418154761905,21999.418154761905,21999.418154761905,21999.418154761905,1,2.0,911783.4048096192
16145,ca0156cd-9f75-40cd-a670-a39e5caf3c12,BigDATA-redline-jcyq-batch01.bigdata.prod,2.0,4.0,SA2,1,CVM,vpc_prod,BigDATA-redline-jcyq-batch01.bigdata.prod,BigDATA-redline-jcyq-batch01.bigdata.prod_系统盘,50,0,cbsPremium,6854.089285714285,29.674255983784448,0.0004960317460317,1,203390.0,2016.0,547,compute-simulation,vpc_prod_BigDATA-redline-jcyq-batch01.bigdata.prod_系统盘,,6497.018849206349,12757.43898809524,,0,0.0,13503.298946270883
16196,29479f48-fdf6-43df-a308-1dc244341e8f,as-tke-np-a8igc3hv9,16.0,32.0,S5,1,CVM,asg-e038a581,as-tke-np-a8igc3hv,as-tke-np-a8igc3hv9_系统盘,50,0,cbsPremium,18214.536706349205,3.035597385286576,0.0004960317460317,0,55292.0,2016.0,406,generic-autoscaling,asg-e038a581_as-tke-np-a8igc3hv9_系统盘,10435.564484126984,10435.564484126984,10435.564484126984,10435.564484126984,0,0.0,13503.298946270883
10249,b8b776ed-0e6e-442a-a439-db93e294137d,新C生产-Clickhouse和PG备份专用机器,8.0,32.0,D3,1,CVM,1286-新C云平台,新C生产-Clickhouse和PG备份专用机器,[数据盘]tld010082001135_新C云平台_zhouq90_1,500,1,cbsPremium,179.93253968253967,208.14467503252985,0.0014880952380952,1,37452.0,2016.0,547,infra-database,1286-新C云平台_[数据盘]tld010082001135_新C云平台_zhouq90_1_新C生产-Clickhouse和PG备份专用机器,,,8772.74107142857,,0,0.0,13503.298946270883
1580,031732af-e549-45aa-905d-10d95a0d59db,手机聚好看和探戈,2.0,4.0,SA2,1,CVM,默认项目,手机聚好看和探戈,logbak206-lihan_数据盘_1,1000,1,cbsPremium,333.9806547619048,12.830084434245997,0.0,0,4285.0,2016.0,547,infra-logging-monitoring,手机聚好看和探戈_默认项目_logbak206-lihan_数据盘_1,,,,,0,0.0,13503.298946270883
20123,0125e279-7588-443b-95bc-44a36ca2b060,p-qcbj7-mysql-83a468c4-02,8.0,32.0,S6,1,CVM,默认项目,p-qcbj7-mysql-83a468c,p-qcbj7-mysql-83a468c4-02_系统盘,50,0,cbsssd,2740.8328373015875,39.61350671312505,0.0009920634920634,1,108574.0,2016.0,567,infra-database,p-qcbj7-mysql-83a468c4-02_系统盘_默认项目,118.52232142857144,118.52232142857144,118.52232142857144,118.52232142857144,0,0.0,13503.298946270883
10533,252c4493-5474-406c-906c-a78048d77a73,as-tke-np-5dnc06gl,16.0,64.0,SA2,1,CVM,asg-q5ahzgc5,as-tke-np-5dnc06gl,as-tke-np-5dnc06gl_系统盘,50,0,cbsPremium,6908.992063492064,4.495445893492837,0.0009920634920634,0,31059.0,2016.0,547,infra-node,asg-q5ahzgc5_as-tke-np-5dnc06gl_系统盘,6012.521825396825,6012.521825396825,6012.521825396825,6012.521825396825,0,0.0,13503.298946270883
23888,872c3590-3e3f-45f2-80fd-db32b0ff4510,ckafka-gnan4pwz,16.0,32.0,S5,0,CVM,默认项目,ckafka-gnan4pwz-cbs,Ckafka_ins-65t87zwr_1803207160_4,560,1,cbsPremium,69097.42361111111,1.4998822616496896,0.0004960317460317,0,103638.0,2016.0,700,infra-message-queue,ckafka-gnan4pwz-cbs_Ckafka_ins-65t87zwr_1803207160_4_默认项目,70105.00347222222,70105.00347222222,70105.00347222222,70105.00347222222,0,0.0,13503.298946270883
8688,6be125d4-7bce-46fc-b590-b23bd64aa098,配置中心-TJ-接口1,2.0,4.0,S5,1,CVM,公共资源,配置中心-TJ-接口,配置中心-TJ-接口1_系统盘,300,0,cbsPremium,6376.319940476191,4.190504907130573,0.0009920634920634,0,26720.0,2016.0,546,infra-coordination,公共资源_配置中心-TJ-接口1_系统盘,,6325.078373015873,6325.078373015873,,0,0.0,13503.298946270883
21264,afa562e8-cd1c-4240-b643-05704aff7f69,未命名59,2.0,4.0,S6,1,CVM,默认项目,PWA,未命名59_系统盘,100,0,cbsPremium,20564.58978174603,38.25007006452497,0.0009920634920634,1,786597.0,2016.0,569,generic-unknown,默认项目_未命名59_系统盘_PWA,23464.516865079364,23464.516865079364,23464.516865079364,23464.516865079364,1,2.0,911783.4048096192
13967,c98e9fc3-9650-4186-bcc1-ccc49d4efca9,dzyz-game-21-2036,4.0,8.0,S6,1,CVM,臧泽,dzyz-game,dzyz-game-21-2036_数据盘_1,100,1,cbsPremium,425.0882936507937,37.580427968979365,0.0014880952380952,1,15975.0,2016.0,576,game-service,dzyz-game-21-2036_数据盘_1_臧泽,465.5803571428572,465.5803571428572,465.5803571428572,465.5803571428572,1,0.0,211056.5982142857
7428,1ff86ff3-f066-4aba-9ed2-687a52941218,p-qcbj7-srd-qc-logstash-987c1e18-04,16.0,64.0,S6,1,CVM,默认项目,p-qcbj7-srd-qc-logstash-987c1e,p-qcbj7-srd-qc-logstash-987c1e18-04_数据盘_1,50,1,cbsssd,34.830357142857146,378.97974878236346,0.0004960317460317,1,13200.0,2016.0,676,infra-logging-monitoring,p-qcbj7-srd-qc-logstash-987c1e18-04_数据盘_1_默认项目,,,2742.3338293650795,,0,0.0,13503.298946270883
9033,fd8e7377-951b-4dde-91a3-66b70f9a5c12,as-tke-np-ab71cdmd5,32.0,128.0,SA3,1,CVM,asg-9dtox8ft,as-tke-np-ab71cdmd,as-tke-np-ab71cdmd5_系统盘,100,0,cbsPremium,8877.36259920635,104.11831100406258,0.0009920634920634,1,924296.0,2016.0,407,generic-autoscaling,asg-9dtox8ft_as-tke-np-ab71cdmd5_系统盘,,,,,0,0.0,13503.298946270883
199,143ae4cf-3bef-4680-87c7-4a522da2fc4f,test-k8s-node-9.64i8ivzr.1,16.0,128.0,MA2,1,CVM,cls-jb1ppjo9,test-k8s-node64i8ivzr.,cls-jb1ppjo9/pvc-7a814f96-c926-4d66-a602-eb4ab24d7f42,10,1,cbsPremium,326.5124007936508,1.084185467809294,0.0,0,354.0,2016.0,606,infra-node,test-k8s-node64i8ivzr._test-k8s-node-9.64i8ivzr.1_cls-jb1ppjo9/pvc-7a814f96-c926-4d66-a602-eb4ab24d7f42,7358.064980158731,53224.77728174603,7742.033234126984,53224.77728174603,0,0.0,13503.298946270883
2222,3cf832f8-97e1-42df-ac29-a8f3bed5148a,p-qcbj7-ccs-vda-tidb-prod-abf616a4-01,16.0,32.0,C6,1,CVM,默认项目,p-qcbj7-ccs-vda-tidb-prod-abf616a,p-qcbj7-ccs-vda-tidb-prod-abf616a4-01_数据盘_1,200,1,cbsPremium,488.97271825396825,17.80262921637828,0.0,0,8705.0,2016.0,652,infra-database,p-qcbj7-ccs-vda-tidb-prod-abf616a4-01_数据盘_1_默认项目,707.1577380952381,,707.1577380952381,,0,0.0,13503.298946270883
3068,f41ae312-ba36-427b-a095-9aa48d9eb822,qc-infra-bj1-k8s-gpu-v100-80c-320g-vm.bkdjp50x.0,80.0,320.0,GN10Xp,1,CVM,asg-mkecy89p,qc-infra-bj1-k8s-gpu-v100-80c-320g-vm.bkdjp50x.,qc-infra-bj1-k8s-gpu-v100-80c-320g-vm.bkdjp50x.{R:0}_DATA_DISK_2,1000,1,cbsPremium,151.2172619047619,103.7447696274282,0.0014880952380952,1,15688.0,2016.0,576,infra-node,qc-infra-bj1-k8s-gpu-v100-80c-320g-vm.bkdjp50x.{R:0}_DATA_DISK_2_qc-infra-bj1-k8s-gpu-v100-80c-320g-vm.bkdjp50x.0_asg-mkecy89p,44389.82837301587,44389.82837301587,44389.82837301587,44389.82837301587,0,0.0,13503.298946270883
20088,8e234499-be57-4cdb-9287-2e75fe589b46,lh-1308339476-lhins-i4hivgg0,4.0,4.0,SA2,0,CVM,默认项目,lh-cbs,lh-1308339476-20220318596013188106501,500,1,cbsPremium,13829.760912698412,105.00246599828311,0.0843253968253968,1,1452159.0,2016.0,547,generic-unknown,lh-1308339476-20220318596013188106501_默认项目_lh-1308339476-lhins-i4hivgg0_lh-cbs,11611.370535714286,11611.370535714286,11611.370535714286,11611.370535714286,0,0.0,13503.298946270883
1822,49ea4ef2-ba7b-4cc9-82a1-8b15648bc60c,tke_cls-bzmzyblh_worker8,48.0,96.0,SA3,1,CVM,ark-scorpio(天蝎座),tke_cls-bzmzyblh_worker,cls-bzmzyblh/pvc-e51e69eb-b461-418e-9b97-18f5f8ff76f6,100,1,cbsPremium,511.8244047619048,1.279735772475912,0.0004960317460317,0,655.0,2016.0,602,infra-node,ark-scorpio(天蝎座)_tke_cls-bzmzyblh_worker8_cls-bzmzyblh/pvc-e51e69eb-b461-418e-9b97-18f5f8ff76f6,1233064.009424603,1233064.009424603,897534.2534722222,1233064.009424603,0,0.0,13503.298946270883
10076,1f5777d5-5768-475e-b483-c57a401c06a7,prod-xmh-bj7-imgcloud-java-02,4.0,8.0,S5,1,CVM,disk,prod-xmh-bj7-imgcloud-java,prod-xmh-bj7-imgcloud2_系统盘,80,0,cbsPremium,7741.055555555556,15.353978426714702,0.0004960317460317,0,118856.0,2016.0,478,media-video-streaming,prod-xmh-bj7-imgcloud2_系统盘_prod-xmh-bj7-imgcloud-java-02_disk,,,,,0,0.0,13503.298946270883
19209,a3ec2ac6-49b8-4346-a83e-3843907697b8,emr-Core.201_emr-b9xsq2fb,32.0,64.0,SA3,1,CVM,大数据,emr-Core-emr-b9xsq2fb,emr-core_DATA_DISK_1,300,1,cbsPremium,80534.98263888889,3.5477377735477704,0.0004960317460317,0,285717.0,2016.0,700,compute-simulation,emr-Core.201_emr-b9xsq2fb_emr-Core-emr-b9xsq2fb_emr-core_DATA_DISK_1_大数据,,,29.933035714285715,,0,0.0,13503.298946270883
1474,7c5362d9-a1fa-4463-952c-bfeb0d289397,s-qcbj7-sd-cn-gw-01,8.0,32.0,C6,1,CVM,默认项目,s-qcbj7-sd-cn-gw,s-qcbj7-sd-cn-gw-01_数据盘_1,100,1,cbsPremium,304.7708333333333,1.0991865472691231,0.0009920634920634,0,335.0,2016.0,562,infra-node,s-qcbj7-sd-cn-gw-01_数据盘_1_默认项目,7182.005952380952,35002.42757936508,35002.42757936508,6.370535714285714,0,0.0,13503.298946270883
12639,fa0d06f9-921d-4bba-8123-c27e8161d7a9,gmrd-mongo-mongodb02.rongdan.prod,2.0,4.0,SA2,1,CVM,vpc_prod,gmrd-mongo-mongodb02.rongdan.prod,gmrd-mongo-mongodb02.rongdan.prod_系统盘,50,0,cbsPremium,6508.072916666667,3.9802873034292334,0.0014880952380952,0,25904.0,2016.0,408,infra-database,gmrd-mongo-mongodb02.rongdan.prod_系统盘_vpc_prod,,,7178.032738095239,,0,0.0,13503.298946270883
2851,81c4c5b0-c3a5-4f1b-87fb-6aab4c847925,uat.bj7.ag.node6,32.0,64.0,SA2,1,CVM,cls-pfisy49h,uat.bj7.ag.node,cls-pfisy49h/pvc-feb2d2de-6ba0-4390-975c-1dc63f7aecbd,50,1,cbsHSSD,278.6681547619048,1.037075801671428,0.0014880952380952,0,289.0,2016.0,458,dev-test-env,cls-pfisy49h/pvc-feb2d2de-6ba0-4390-975c-1dc63f7aecbd_uat.bj7.ag.node6,,,,,0,0.0,13503.298946270883
18192,1aa60562-9ac9-49bb-a5f9-6bbd13e7e353,emr-Task.5012_emr-4yjsxm4t,32.0,128.0,SA3,1,CVM,data-emrol-prod,emr-Task-emr-4yjsxm4t,emr-task10_系统盘,50,0,cbsPremium,16598.735615079364,5.066891957938922,0.0009920634920634,0,84104.0,2016.0,487,infra-node,emr-Task-emr-4yjsxm4t_emr-Task.5012_emr-4yjsxm4t_data-emrol-prod_emr-task10_系统盘,2419703.525297619,2419703.525297619,2419703.525297619,2419703.525297619,0,0.0,13503.298946270883
20437,2849c2a1-da85-47d0-9323-0ff1c88fe6c2,tcen_bj7_2_xyx_gen_comments_webm(包含syfilter.5054399.com),8.0,16.0,S5,1,CVM,主站通用评论,tcen_bj7xyx_gen_comments_webm(包含syfiltercom),tcen_bj7_x_xyx_gen_comments_webm_数据盘_1,50,1,cbsPremium,1756913.6825396826,1.4599368343994132,0.0004960317460317,0,2564983.0,2016.0,476,community-social-forum,tcen_bj7_x_xyx_gen_comments_webm_数据盘_1_tcen_bj7xyx_gen_comments_webm(包含syfiltercom)_tcen_bj7_2_xyx_gen_comments_webm(包含syfilter.5054399.com)_主站通用评论,,,,,1,0.0,211056.5982142857
6417,e5ab75a4-cf72-46d6-8213-9d24d79d8286,未命名,8.0,16.0,SA2,1,CVM,ark-andromeda(仙女座),ark-andromeda(仙女座),未命名_数据盘_1,200,1,cbsHSSD,1070.2286706349207,2.343424418364826,0.0009920634920634,0,2508.0,2016.0,400,generic-unknown,未命名_数据盘_1_ark-andromeda(仙女座),,,,,0,0.0,13503.298946270883
14843,de679ba7-0f0c-4925-9691-6cb90f22ec83,tcen_bj7_16_xyx_gen_comments_dbs,4.0,8.0,S6,1,CVM,主站评论,tcen_bj7xyx_gen_comments_dbs,tcen_bj7_16_xyx_gen_comments_dbs-vdc,100,1,cbsPremium,51403.25843253968,17.148095799351243,0.0014880952380952,0,881468.0,2016.0,406,infra-database,tcen_bj7xyx_gen_comments_dbs_tcen_bj7_16_xyx_gen_comments_dbs-vdc_主站评论,,,,,1,0.0,211056.5982142857
23573,e1a8680b-1dc4-481d-b194-f757d29dba12,GTSP-Prd-实名认证-new6,4.0,8.0,S6,1,CVM,默认项目,GTSP-Prd-实名认证-new,GTSP-Prd-实名认证-new6_数据盘_1,100,1,cbsPremium,11605.928075396823,95.40443407944704,0.0019841269841269,1,1107257.0,2016.0,570,gov-public-service,默认项目_GTSP-Prd-实名认证-new6_数据盘_1,5981.56746031746,5981.56746031746,5981.56746031746,5981.56746031746,1,0.0,211056.5982142857
17468,6912bdff-97a1-46af-ae38-b1102a1e8efd,TSP-RocketMQ-prod1,8.0,16.0,S5,1,CVM,默认项目,TSP-RocketMQ-prod,TSP-RocketMQ-prod_数据盘_1,500,1,cbsPremium,23329.45833333333,7.039469054682296,0.0004960317460317,0,164227.0,2016.0,610,infra-message-queue,默认项目_TSP-RocketMQ-prod_数据盘_1_TSP-RocketMQ-prod1,149203.6875,149203.6875,149203.6875,149203.6875,0,0.0,13503.298946270883
