description,business_type
100012044074-notebook-bdc0u08ju1_系统盘_NOTEBOOK-BufferPool,ai-machine-learning
100012796158-notebook-6tzdbalnvi,ai-machine-learning
100012796158-notebook-m4dbttihtj,ai-machine-learning
100012796158-notebook-m4dbttihtj_系统盘,ai-machine-learning
100012932419-notebook-97psjg2lom,ai-machine-learning
100013833178-notebook-lmxecnr9ju,ai-machine-learning
100013878771-notebook-2zdxeyv0fu,ai-machine-learning
100013882188-notebook-19vqq8mkwx,ai-machine-learning
100013966854-notebook-7qf9m5kp8d,ai-machine-learning
100014073469-notebook-cwamuctld4_系统盘,ai-machine-learning
100014241141-notebook-btaxrr0y7r,ai-machine-learning
100014348713-notebook-hennk2vskh,ai-machine-learning
100015056363-notebook-7ejothzibp,ai-machine-learning
1000dblogin_FROM_snap-rtacstwa_传世,game-service
100325_A3_lobby_互娱资源公共平台_1279_3,game-service
100G数据盘_activity-cvm,generic-unknown
101-生存2服,game-service
102Test.路内开发服务器_系统盘,dev-test-env
103-Wish,ecommerce-retail
106.54.170.157_业务服务器,generic-unknown
1064系统,gov-public-service
107-b,dev-test-env
108-生存9服_Untitled,game-service
10G临时存储盘_2核4G_3年,generic-unknown
10cent,game-service
10she,generic-unknown
111.229.70.117,generic-unknown
111.231.87.21_add_暴风骑士_波谷多开发机,dev-test-env
111Administrator,infra-jumpbox
112-生存13服_FROM_snap-h3hhvz1y_3,game-service
113-100G云硬盘_T+,dev-test-env
113-王丽敏-丹棱县众鑫石材有限公司,office-system
1130047048-notebook-c08dxx1gyn_系统盘,ai-machine-learning
114-王丽明-厦门晟立方商贸有限公司,office-system
116-李艳杰-保定博驰汽贸有限公司,office-system
1163_系统盘_14,generic-unknown
118.25.79.,generic-unknown
118_windows-4GB-sh,generic-unknown
118_星际项目,game-service
11ProjectServer,dev-test-env
11Test,dev-test-env
11a11_11e,generic-unknown
12/19给龙清-eBay,ecommerce-retail
120-SYS_KWISE/goSALE/goEASY(viphd2.kbser.com),ecommerce-retail
120元每年云主机_系统盘50G,generic-unknown
122.51.12.106,generic-unknown
122.51.157.,generic-unknown
123.,generic-unknown
123_dxh,education-learning
1251451230_vpc-2xgvxxuy_subnet-54j3hcmz_系统盘,generic-unknown
1252226338_vpc-co7woe8e_subnet-07hvs7pv,generic-unknown
1252226338_vpc-co7woe8e_subnet-07hvs7pv_1,infra-node
1252226338_vpc-co7woe8e_subnet-07hvs7pv_系统盘,generic-unknown
1253414133_vpc-l4uvig04_subnet-b9zb36bf_系统盘,infra-node
1255429582_vpc-bu655160_subnet-awnd3aot,infra-node
1257983906_vpc-1uiqyju0_subnet-4g2zdp3p,generic-unknown
1257983906_vpc-1uiqyju0_subnet-4g2zdp3p_系统盘,generic-unknown
12581_activity-cvm,generic-unknown
1259337860_vpc-1ugxvv44_subnet-qh0iqpuj_系统盘_1,infra-node
1259722256_vpc-l5irmuqs_subnet-oubwp3qx,generic-unknown
1280808368@qq.com,personal-use
128鲜果蔬,ecommerce-retail
12jiqirenactivity-cvm,generic-unknown
12机器,generic-unknown
12系统盘_activity-cvm,generic-unknown
1301129172_vpc-2lox3dmw_subnet-csjnhlu9_系统盘,generic-unknown
133数据盘_南通安波福,infra-database
136-生存37服_FROM_snap-kkskuy3e_49,game-service
137买深圳,local-service-delivery
140621_centos_7.,dev-test-env
142号服务器,generic-unknown
14358408lzj@sina.cn,generic-unknown
146yun,generic-unknown
146服务器,generic-unknown
147的云服务器,generic-unknown
1550112637@qq.com,generic-unknown
157xt,generic-unknown
163_164,generic-unknown
163com,media-news-portal
167,generic-unknown
1685-319US,generic-unknown
169号机器人,ai-machine-learning
16段雄花_系统盘,game-service
170百区,game-service
179s.com-haoxyx,corp-website-portal
17lucky,game-service
17you_sys,game-service
17大区游龙二推跨服_系统盘,game-service
181数据盘,generic-unknown
18258077752@sina.cn,generic-unknown
186云服务器,generic-unknown
18984data,data-collection-delivery
18助手,ai-machine-learning
18号,generic-unknown
18战区,game-service
18挂机,game-service
19/265G,generic-unknown
191-生存92服,game-service
194服务器,generic-unknown
19u_pnia,generic-unknown
1C2G,generic-unknown
1C2G-CentOs7.,generic-unknown
1C2G1M_1Y,generic-unknown
1C2G_3y,generic-unknown
1CPU1G,generic-unknown
1G,generic-unknown
1G1H-上海,game-service
1H2的_u672au547du540d,generic-unknown
1H4G,generic-unknown
1M,generic-unknown
1M2G,generic-unknown
1M2G3年_系统盘,generic-unknown
1Ubuntu-sys_python数据收集,data-collection-delivery
1Y_5,generic-unknown
1_as-p2prelay-server-live,media-video-streaming
1_as-p2prelay-server-test,dev-test-env
1_onearm-1.,generic-unknown
1c2g,generic-unknown
1h2g,dev-test-env
1h2g-测试机,dev-test-env
1pBabybangCCS,game-service
1pan_数据盘,infra-node
1tBabybangTestCCS,dev-test-env
1year,generic-unknown
1个月,generic-unknown
1号211_淘,ecommerce-retail
1号__起个难的名字123_死_起个难的名字123_系统盘,generic-unknown
1号_windows-2GB-sh-5536_系统盘,generic-unknown
1号主机,generic-unknown
1号服务器,generic-unknown
1号服务器,generic-unknown
1号机公众号,media-news-portal
1年,generic-unknown
1年,generic-unknown
1核2G,generic-unknown
1核2G1M_系统盘,dev-test-env
1核2GB1Mbps,generic-unknown
1组D,generic-unknown
2,generic-unknown
2-server,generic-unknown
2.k,infra-node
20-3号_Untitled,generic-unknown
200G可用_activity-cvm,generic-unknown
2012_C_上海弘润,generic-unknown
201803Linux,generic-unknown
20180906-给王梅-亚马逊,personal-use
2018rabbit,infra-message-queue
20190530-DBServer_2,infra-database
20190530-区服列表,game-service
20190530-区服列表_1,game-service
20190530-后台,game-service
20190530-后台_4,game-service
20190530-登录支付_0,finance-payment
201906101-GameServer_0,game-service
201906102-DBServer,infra-database
20190810-中餐厅版署服,local-service-delivery
20190904购买,ecommerce-retail
20191111上海,generic-unknown
2019最新Linux服务器,generic-unknown
2019灵山传说,game-service
2020.01.19一年,generic-unknown
2020.11.,generic-unknown
202015_分流,data-collection-delivery
2020ybgo_杨波,personal-use
2020企鹅跑聚爱线上跑_系统盘,community-social-forum
2020大企鹅跑接入层,community-social-forum
2020年9月2号到期,generic-unknown
2020微端服务_Untitled,game-service
207号机器人,ai-machine-learning
20G_4C8G5M,generic-unknown
20G数据盘_单核2G,infra-node
20曾佳欢_数据盘,personal-use
214416523-notebook-lz09rua0om_系统盘,ai-machine-learning
21年_Untitled,generic-unknown
21魏嘉_数据盘,infra-node
21魏嘉_系统盘,personal-use
22茶瑞静_系统盘,personal-use
23019_HD_hyxtcwmk01_prod_华东公司,office-system
23025-hddzxt_华东公司,office-system
23025-hdrcgdb_华东公司,office-system
23026_华东仓储系统数据库,infra-database
23029-hdzjwgapp_华东公司,office-system
23101-hdmcpdb_华东公司,infra-database
2312334_ajaxhe-test-es,dev-test-env
232_csg,generic-unknown
2387yx网站服务器,corp-website-portal
238球衣_windows-1GB-sh-9489_系统盘,ecommerce-retail
23yrs,generic-unknown
23系统盘_应用服务器,office-system
242#开发测试环境,dev-test-env
244腾讯云Lanlang,game-service
245_（昊）,generic-unknown
24Maker,community-social-forum
24hyun,generic-unknown
24号机小玩小度,game-service
24小时待机银小松,infra-logging-monitoring
2588网店,ecommerce-retail
26-程丽君-河南恒宝纸业有限公司-开完,office-system
27long_disk-first,infra-node
28_as-nex-server-live,generic-autoscaling
296750858-notebook-f860vu543e,ai-machine-learning
29db,infra-database
29db_FROM_snap-gm9bifa0_0,infra-database
2C4G-2020.,generic-unknown
2C4G5M,generic-unknown
2C8G,generic-unknown
2DF,generic-unknown
2G8G5M,generic-unknown
2G_搭建网站,corp-website-portal
2H4G,generic-unknown
2H4G6M,generic-unknown
2H8M3N,infra-node
2_activity-cvm,generic-unknown
2_cdy,generic-unknown
2_tke_cls-0cdh6cdx_worker,infra-node
2c4g-系统盘50G,generic-unknown
2c4g腾讯云,generic-unknown
2cores4g5m_shanghai,generic-unknown
2g内存云服务器,generic-unknown
2h4g-5M,generic-unknown
2h4g6m,generic-unknown
2h4g_Untitled,generic-unknown
2ita数据盘_新2ita,infra-node
2nnet,generic-unknown
2todo,office-system
2号,generic-unknown
2号___linliang_gucci数据2,ecommerce-retail
2号机,generic-unknown
2号线,logistics-mobility
2条IP,generic-unknown
2核4G,generic-unknown
2核4G3M,generic-unknown
2核4G__50G,generic-unknown
2核8g,generic-unknown
2核腾飞,generic-unknown
2游戏服,game-service
2钻大龙,game-service
301实验室云服务器,education-learning
30G数据盘_swpdm,generic-unknown
30gs_FROM_snap-ja5vlquo_5,generic-unknown
31-冯明-山东大陆置业有限公司-开完-ok,office-system
31net-new-pro-base01_系统盘,infra-node
31net-new-pro-base02_数据盘,infra-node
3261小号,game-service
327dbgsgglogin,infra-jumpbox
32_Service_兵法三国,game-service
32_平台_兵法三国,game-service
32_游戏服_兵法三国,game-service
332dblogingsgg_FROM_snap-rtacstwa_0_传世,game-service
33（1147）N22新返利_Untitled,ecommerce-retail
3466+,generic-unknown
3502318835q,generic-unknown
3603D捕鱼登录支付服务器_系统盘,game-service
360GS07-shijiefu,game-service
360端_game,game-service
360预言世界-合作-安卓1服_预言世界-合作-安卓1服_数据盘,game-service
365dying,game-service
37_企业宣传_服务器_Untitled,corp-website-portal
3Dev,dev-test-env
3D游戏资源网,community-social-forum
3QMMDA,generic-unknown
3hao,generic-unknown
3号___Cathy6288_张小海电子_数据盘,infra-database
3年2c4g,generic-unknown
3年不思量,community-social-forum
3年云主机,generic-unknown
3年云服务器,generic-unknown
3年到期,generic-unknown
3年啊,generic-unknown
3年服,game-service
3月26日挂9个,infra-logging-monitoring
"4,8,5服务器_系统盘",generic-unknown
4-海霞,generic-unknown
4.满ip.续费,generic-unknown
4008杨东叶_系统盘_0,personal-use
400server,generic-unknown
404-Main-Server,generic-unknown
415工作室,game-service
46#售后业务-生产环境,office-system
47-J,generic-unknown
47H-审核,office-system
47H-测试,dev-test-env
4C8G,generic-unknown
4DF42考箱后台,education-learning
4G指挥服务_4G指挥系统盘_执法视音频综合管理系统,gov-public-service
4H8G主服务器,generic-unknown
4H8G主服务器,generic-unknown
4c8g5m_ubuntu1804,generic-unknown
4号,generic-unknown
4号_Untitled,generic-unknown
4号___张小海电子_张小海电子_数据盘,infra-node
4号机800,generic-unknown
4店黑飞_Untitled,game-service
4核8G_activity-cvm,generic-unknown
5--23_系统盘,generic-unknown
5--25--1_系统盘,infra-node
5-45_set5-mysql-boss,infra-database
5.11_系统盘_朱鹏杰,personal-use
5.8系统DNF,game-service
50G2_T,dev-test-env
50G_activity-cvm,generic-unknown
50G云硬盘,generic-unknown
50G固态硬盘_HJ-zmj,generic-unknown
50G硬盘_activity-cvm,generic-unknown
50G硬盘_小陈的服务器,personal-use
50G系统盘_飓蕾科技官网服务器,corp-website-portal
50g_activity-cvm,generic-unknown
50xian,game-service
5102it_IT,corp-website-portal
5157uu,generic-unknown
517外卖,local-service-delivery
51StudyHard,education-learning
51cto,education-learning
51lvdou,community-social-forum
51mis.com,office-system
51mj,game-service
51quant.cn_系统盘,finance-payment
51server,generic-unknown
51南充校区,education-learning
51装修网,local-service-delivery
52shici_52系统盘,education-learning
54ops,infra-logging-monitoring
567top,generic-unknown
588gs,game-service
588gs_FROM_snap-hicnguqi_10,generic-unknown
5G时代,iot-saas-platform
5M,generic-unknown
5Y,generic-unknown
5jiqi_冒泡备案_Other频道,community-social-forum
5pb,game-service
5月2号-林华源_系统盘,personal-use
5月_系统盘,generic-unknown
6.17采购主平台升级备用_系统盘,office-system
603大佬群居_mc服务器专用,game-service
605Q1M,generic-unknown
60Days,generic-unknown
616slg_zidai50g,game-service
61mis.com_81mis,office-system
638pay_系统盘,finance-payment
657dblogin_传世,game-service
657fSoJcCRH#rDu,generic-unknown
657gs4gg_传世,game-service
659dblogin_FROM_snap-rtacstwa,infra-database
68-88activity-kep{R:59}_系统盘,ecommerce-retail
68-88activity{R:105}_系统盘,generic-unknown
681-备份,infra-node
690-堡垒机_系统盘,infra-jumpbox
692-堡垒机、备份,infra-jumpbox
699-堡垒3_系统盘,infra-jumpbox
6k9k-new,game-service
6mbps公网服务器,generic-unknown
6号速推客,ecommerce-retail
7.14_eBay账号_windows-2GB-sh-4401_系统盘,ecommerce-retail
7.20_系统盘,generic-unknown
7.27Crayola/绘儿乐_Disney/迪士尼_Joan_Miro_系统盘,education-learning
7.27东匠(五金)_系统盘,office-system
7.27南庐_系统盘,generic-unknown
7.30一代潮主_系统盘,game-service
70-server,generic-unknown
715zc,generic-unknown
73-陈旭燕--河南亚德机电设备有限公司,office-system
777-vps,personal-use
7hydgw,generic-unknown
7yue_Untitled,generic-unknown
7月,generic-unknown
7月10号已租出去了、10月10号收回,generic-unknown
7月25日购买_系统盘,generic-unknown
8.3泊正_系统盘,generic-unknown
8.陈星宇,personal-use
8/,generic-unknown
800me,community-social-forum
80jc_activity-cvm,generic-unknown
8112-center_捕鱼达人3D手游_1193,game-service
8112-game_捕鱼达人3D手游_1193,game-service
8112-web_捕鱼达人3D手游_1193,game-service
817gs4gg,generic-unknown
83号系统,office-system
88元活动机,generic-unknown
88元测试服务器,dev-test-env
88包年,generic-unknown
8C_16G_-2_-Search,data-collection-delivery
8GD盘,generic-unknown
8_红,generic-unknown
8号activity-cvm,generic-unknown
8核16G美晴系统盘,generic-unknown
8韩晨曦,personal-use
9.袁浩,generic-unknown
9022_玉溪兴锐物流有限公司,logistics-mobility
90rj,generic-unknown
914gs4gg_FROM_snap-hicnguqi_6_传世,game-service
91ipp,generic-unknown
941988_tugesha,generic-unknown
"95-梦幻火龙,寻秦记主机",game-service
991dbgsgglogin_FROM_snap-hicnguqi_传世,game-service
9943dblogin_FROM_snap-f8fs7moi_2,infra-database
998主机,generic-unknown
999tgamedb_天堂2_232,game-service
999tgamedb_天堂2_232_1,game-service
999tmain_天堂2_232_0,game-service
99_newxgame_zone,game-service
99_newxgame_zone_cvm_vwa_云硬盘,game-service
99_newxgame_zone_互娱资源公共平台_1279,game-service
99元,generic-unknown
99元1核2G,generic-unknown
99包年_云硬盘,infra-node
9gaHPhMilTXAaWaHvs45H7n,generic-unknown
9号机_Untitled,generic-unknown
9蔡木庚_蔡木庚_系统盘,personal-use
@,generic-unknown
@DUOWANGKEJI@@wangwang,ecommerce-retail
A,generic-unknown
A,generic-unknown
A,generic-unknown
A-Game_安卓官包A,game-service
A-Quack,game-service
A-老牛搬家,local-service-delivery
A.K.As,generic-unknown
A001小助手服务器,ai-machine-learning
A001购物返利,ecommerce-retail
A03-02_熊猫,game-service
A03NA04N（原登陆A28机器人）,game-service
A1-Game_安卓混服A1,game-service
A1-Login_安卓混服A1,game-service
A123456789.a,generic-unknown
A23_韩磊,personal-use
A6-A,generic-unknown
AA,generic-unknown
AA6201-占善祥,generic-unknown
AA6209-曾妮文,dev-test-env
AA6212-陈金连,personal-use
AAA13714-杨世群,personal-use
AAA_二百兆,generic-unknown
AAA_系统盘_4,generic-unknown
ABClub.C,community-social-forum
ACS,generic-autoscaling
ACSBC,generic-unknown
ADEE,generic-unknown
AF新零售纸巾机,local-service-delivery
AGS2,generic-autoscaling
AGS2+,generic-autoscaling
AI.生活,ai-machine-learning
AIKAMINO,ai-machine-learning
AIPrinting,ai-machine-learning
AISoccer,game-service
AI_知识库_服务_系统盘,ai-machine-learning
AIseasy,ai-machine-learning
AI机器人,ai-machine-learning
AI机器人_机器人数据盘,ai-machine-learning
AJ,generic-unknown
ALClub,community-social-forum
ALINK,iot-saas-platform
AM1112New,generic-unknown
AM1516-US_系统盘,infra-node
AMS--2号_windows-1GB-sh-6291_系统盘,generic-unknown
AMS运营管理系统_数据盘_1,office-system
AMTwpall,corp-website-portal
AMZ,ecommerce-retail
AMZ-DEV-ACC,dev-test-env
AMZ-T,dev-test-env
AMZ-待命名,generic-unknown
AMZ_JHY,ecommerce-retail
AMZ外链_系统盘,data-collection-delivery
AMzhouhongfang,personal-use
APCG_cn_cn__熹妃Q传简中版_mergeserver-APCG,game-service
API-A1-review,dev-test-env
APIA1MQMS_2,infra-message-queue
APIZ1MSQS11_B2B_PREPROD_API,dev-test-env
APIZ1REDS11_B2B_PREPROD_API,dev-test-env
APIZ1ZULS,generic-unknown
APIgw,iot-saas-platform
API前端服务器,generic-unknown
API有智云,iot-saas-platform
API服务,iot-saas-platform
API服务器测试环境,dev-test-env
API网关,infra-coordination
API网关1（廉价3年）,iot-saas-platform
APMA1APPS_3,office-system
APMA1BOWS_2,generic-unknown
APMA1SDKS_1,infra-logging-monitoring
APMZ1CADS_0,office-system
APMZ1WWWS_1,infra-logging-monitoring
APP,generic-unknown
APP-web,corp-website-portal
APP_HaiYang,generic-unknown
APP_Server,infra-node
APP下载-生产,corp-website-portal
APTX,dev-test-env
APX-HOST-2H8G,generic-unknown
AQOK,generic-unknown
AQQ_系统盘,infra-node
ARpetDemo_ARpet_Demo,dev-test-env
ARserver-data-disk_0_arwatch,infra-logging-monitoring
AS,generic-autoscaling
ASC100014393421-20200805421000043892331_系统盘,generic-autoscaling
ASC100015105150-20200729150000020107041_数据盘,generic-autoscaling
ASC测试腾讯云内部测试_数据盘,dev-test-env
ASC测试腾讯云内部测试_系统盘,dev-test-env
ASC测试腾讯云市场测试_数据盘,generic-autoscaling
ASC测试腾讯云市场测试_系统盘,dev-test-env
ASINKING-ERP,office-system
ASmartPig,game-service
ATC_Untitled,generic-unknown
ATL-2ND,dev-test-env
AWX_系统盘,dev-test-env
A_MeetBest,community-social-forum
A_系统盘,generic-unknown
Abdurahman,generic-unknown
AbiaoQQHOST,community-social-forum
Aboluo,generic-unknown
AccessLayer,generic-unknown
AclCommunicationTest_200805_100719_系统盘,dev-test-env
AdTodo,office-system
Admin,infra-jumpbox
Administration,office-system
Administrator,infra-jumpbox
Administrator,infra-jumpbox
Administrator_D盘,generic-unknown
Administrator_Untitled,generic-unknown
Administrator_系统盘,infra-jumpbox
AdoServer,generic-unknown
Aftery,media-video-streaming
Again,generic-unknown
AiEnglish,education-learning
Akylc-tc,dev-test-env
Alan,personal-use
AlanRemote,infra-jumpbox
Alan_Xv,personal-use
Albert,generic-unknown
Alien's_Cloud_Server,personal-use
Allen-Learn,education-learning
Alpex,generic-unknown
AlvanWeb,corp-website-portal
Alvin,generic-unknown
Amber,generic-unknown
Amdeus_Disk_1,infra-node
Ami,generic-unknown
AndyTestServer,dev-test-env
Anew上海,generic-unknown
Anhlaidh'sServer,personal-use
Anndy,personal-use
AntPC,finance-payment
AntWiki_系统盘,office-system
Anxon_Linux_MLinux,ai-machine-learning
AnyDesk_Server_系统盘,infra-jumpbox
AoMeiXi,generic-unknown
ApiServer,infra-coordination
ApiTest,dev-test-env
Apmserver,infra-logging-monitoring
Apolar,generic-unknown
AppDev（$CpLbKBZ76y%Nude）_weShineDev,dev-test-env
AppServer,infra-node
AppServerBeiQiao_sys,office-system
Apple_Server,ecommerce-retail
Application_Tier_Epic_2568_系统盘_1,game-service
Aprobe,dev-test-env
Ares,game-service
Aries_activity-cvm,generic-unknown
Ark,game-service
Arkdata_DATA,data-collection-delivery
Arkdata_SYS,data-collection-delivery
Array-SSL-VPN,infra-jumpbox
Asdrt,generic-unknown
Asher,generic-unknown
AsiaFM亚洲音乐台_系统盘,media-video-streaming
Astarin,generic-unknown
Asuka,game-service
Atlas_d-qcsh2-atlas-ap,dev-test-env
Atlas_t-qcsh2-atlas-go,dev-test-env
AtnyTencent,generic-unknown
AuKang_US,corp-website-portal
Audi,corp-website-portal
AuroraFog,iot-saas-platform
AuthZz,generic-unknown
B,generic-unknown
B***_Untitled,generic-unknown
B-Cloud_B云-100G,infra-node
B-上海冰箱,ecommerce-retail
B2B_PREPROD_PRICESURVEY_PSYZ1APPS11,dev-test-env
B2B_PREPROD_PRICESURVEY_PSYZ1WWWS11,dev-test-env
B2B_PREPROD_TMS_TMSZ1WWWS11,dev-test-env
B2B_PREPROD_WMS_WMSZ0WWWS_0,dev-test-env
B2B_PREPROD_WTS_WTSZ0APPS11,dev-test-env
B2B_PROD_DATALAKE_DTLA1APPS,data-collection-delivery
B31_系统盘,generic-unknown
B3—康品家居专营店,ecommerce-retail
B46_系统盘_ES,infra-logging-monitoring
BATE_RZ_SH_PMS_APP,travel-hospitality
BATE_RZ_SH_PMS_APP_PMS-Beta,dev-test-env
BBBB_系统盘_7,generic-unknown
BBS,community-social-forum
BBS,community-social-forum
BCC,generic-unknown
BCT,dev-test-env
BCTeam,dev-test-env
BDRM-BCNODE,infra-node
BE,generic-unknown
BEET,generic-unknown
BEET,generic-unknown
BIBNE_Bibne.com,corp-website-portal
BILBO,generic-unknown
BI_metabase,office-system
BI_端游天龙实时监控系统,game-service
BInetWebSH（仿真）_比耐特平台,compute-simulation
BJC,generic-unknown
BK-Client-Linux,infra-logging-monitoring
BK-Client-Win,office-system
BLUEVCAS,office-system
BRM_数据盘,infra-database
BT2-_美人传_-_游戏服_-_正式服_-_3_数据盘,game-service
BT2-_美人传_-_游戏服_-_正式服_-_3_系统盘,game-service
BT_-_美人传_-_正式_-_01_系统盘,game-service
BT_-_美人传_-_正式_-_05_数据盘,game-service
BUG管理平台,office-system
BVK,generic-unknown
BWOS_bwos,office-system
BYH_tech,infra-node
B_Untitled,generic-unknown
BabyMia,generic-unknown
BackendDataStorage,infra-database
Backend_Server,generic-unknown
Bacon_bacon2-bcs-slave,infra-node
Bacon_mesh-test-slave,dev-test-env
Base_p-qcsh2-kafka,infra-message-queue
Bayphoon,generic-unknown
Bean-AutoAI-COMP,ai-machine-learning
BehindNAT_0,infra-node
Ben-VPS-Shanghai_系统盘,personal-use
Ben_系统盘,infra-node
BeriDev_BeriLTD.Disk,dev-test-env
Bernard's_Personal,personal-use
BerryPrivate,personal-use
Big_data3-c,compute-simulation
Bill-VM,finance-payment
Billy_Server,personal-use
BingKon-DataDisk-1_BingKon-Server,game-service
BingYun,generic-unknown
Bioinformation,compute-simulation
BitRed_Server,generic-unknown
BlackRam,game-service
BlackRam_软件/项目,generic-unknown
BlackSugar,game-service
Blanc,generic-unknown
Bleach2-AND-Game,game-service
Bleach2-AND-Game-90_系统盘,game-service
Bleach2-IOS-Game,game-service
Bleach2-IOS-Game-89_系统盘,game-service
Bleach2-IOS-Game_0,game-service
Bleach2-IOS-Nginx,game-service
Bleach2-IOS-QAupdate,dev-test-env
Bleach2-Pay,finance-payment
Blithe,generic-unknown
Blog,community-social-forum
Blog,community-social-forum
Blog-disk,community-social-forum
BlogDisk_独自等待博客,community-social-forum
BlueCloud,generic-unknown
BlueTesting,dev-test-env
Blueking-1_系统盘_newBlueking,office-system
Bo,generic-unknown
BoeaWebsite,corp-website-portal
Bot,data-collection-delivery
Brother,generic-unknown
Brutal,game-service
Buddy_OPT_Data,data-collection-delivery
Buffer_20250,data-collection-delivery
Buffer_20250_8,infra-cache
Buffer_20250__wrfeaturepulsarbroker,infra-message-queue
Buffer_20250_wrfeaturepulsarbroker_4,infra-message-queue
BuildWeb,dev-test-env
Bunny,game-service
Buoucat,generic-unknown
C,generic-unknown
C-server,generic-unknown
C-server-disk_微前台项目_生产服务器C,corp-website-portal
C1-C_系统盘,infra-node
C200_Server,generic-unknown
C:\Users\Administrator\Desktop\返利机器人,ecommerce-retail
C:_工具智能制造,iot-saas-platform
CA,generic-unknown
CAAS_JumpHost_ThinPC_系统盘_CAAS_WebResources_Nginx,infra-jumpbox
CAD,compute-simulation
CAS,gov-public-service
CC,generic-unknown
CCC,generic-unknown
CCNSGHTAPP07-SYS,office-system
CCNSGHTAPP11(CRMCE2WEB001)_CRMCE2WEB001_数据盘,office-system
CCNSGHTAPP13(CRMCE2API001)_系统盘,office-system
CCNSGHTAPP17(CRMCE2APP001)_系统盘,office-system
CCNSGHTELT01-DATA,dev-test-env
CCNSGHTELT01-SYS,data-collection-delivery
CCNSGHTEMR02-DATA,data-collection-delivery
CCNSGHTEMR02-SYS,office-system
CCNSGHTMQS02-SYS,infra-message-queue
CCNSGHTRDS01-DATA_CCNSGHTRDS01-new,infra-database
CCNSGHTSQL07-DATA,infra-database
CCNSGHTSQL09-SYS,infra-database
CCN精细化ping监控项目_【CCN监控】上海二区,infra-logging-monitoring
CC_APGame_1196395_xgame2-billxiao,game-service
CC_LGAME_930459,game-service
CC_VMP_890371_cls-dpsknfp1/journal-ant-graylog-0/ant-system,infra-logging-monitoring
CC_VMP_890371_cls-dpsknfp1/journal-graylog-2004150612-0/ant-system,infra-logging-monitoring
CC_VMP_890371_cls-dpsknfp1/journal-msgame-graylog-dev-0/msgame,infra-logging-monitoring
CC_VMP_890371_cls-dpsknfp1/msgame-mongo-dev-pvc/msgame,infra-database
CC_activity-cvm,ecommerce-retail
CC_bcs测试_829649_pvc-316bae39-a4b1-11ea-a588-5254006cb637,dev-test-env
CC_bcs测试_829649_pvc-55c8fd24-a4b1-11ea-a588-5254006cb637,dev-test-env
CC_bcs测试_829649_pvc-5a30bb43-a648-11ea-a588-5254006cb637,dev-test-env
CC_bcs测试_829649_pvc-79244601-a648-11ea-a588-5254006cb637,dev-test-env
CC_bcs测试_829649_pvc-9a7312db-a648-11ea-a588-5254006cb637,dev-test-env
CC_创世中文CSZW_405969_数据盘,community-social-forum
CC_创世中文CSZW_405969_系统盘,media-news-portal
CC_腾讯文学_408503_1,media-news-portal
CC_腾讯文学_408503_数据盘_4,media-news-portal
CC_腾讯文学_408503_系统盘,media-news-portal
CC_资源运营服务_656560,office-system
CC_资源运营服务_656560,office-system
